data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Xi'an,병마용,,,약 기원전 3세기에 지어졌으며 살아있는 듯한 테라코타 병사 조각상으로 유명한 명소입니다.,,,https://www.google.com/maps/place/%EB%B3%91%EB%A7%88%EC%9A%A9/data=!4m7!3m6!1s0x3664a72d821403a3:0xc3e33e74e9e33fc7!8m2!3d34.3841153!4d109.2784918!16zL20vMDEzMXBx!19sChIJowMUgi2nZDYRxz_j6XQ-48M?authuser=0&hl=ko&rclk=1,4033,4.6
2,China,Xi'an,Museum of Qin Terracotta Warriors and Horses West Gate,,,,,,https://www.google.com/maps/place/Museum+of+Qin+Terracotta+Warriors+and+Horses+West+Gate/data=!4m7!3m6!1s0x3664a0c90a888abf:0x43e52952434487a3!8m2!3d34.383795!4d109.275545!16s%2Fg%2F11cnpfrj1f!19sChIJv4qICsmgZDYRo4dEQ1Ip5UM?authuser=0&hl=ko&rclk=1,2071,4.6
3,China,Xi'an,Great Mosque of Xi'an,,,742년에 지은 화려한 모스크로 화려한 건축물과 조용한 정원이 있습니다.,,,https://www.google.com/maps/place/Great+Mosque+of+Xi%27an/data=!4m7!3m6!1s0x36637a67b3c8f925:0xd33b948d6d3f1839!8m2!3d34.263177!4d108.9390603!16zL20vMDVrNTZs!19sChIJJfnIs2d6YzYRORg_bY2UO9M?authuser=0&hl=ko&rclk=1,1040,4.5
4,China,Xi'an,시안성벽,,,해자와 함께 잘 보존된 고대 요새로서 성문이 있으며 벽 위의 회전식 경로를 이용할 수 있습니다.,,,https://www.google.com/maps/place/%EC%8B%9C%EC%95%88%EC%84%B1%EB%B2%BD/data=!4m7!3m6!1s0x36637a56f87fd3a1:0xb9ab5267439cda86!8m2!3d34.276795!4d108.947241!16s%2Fm%2F027zmwg!19sChIJodN_-FZ6YzYRhtqcQ2dSq7k?authuser=0&hl=ko&rclk=1,854,4.5
5,China,Xi'an,대안탑,,,7세기에 지어진 높은 불교탑으로 신성한 경전을 보존하기 위해 건립되었습니다.,,,https://www.google.com/maps/place/%EB%8C%80%EC%95%88%ED%83%91/data=!4m7!3m6!1s0x14e036e7df479dd9:0x4804bba140ba776a!8m2!3d34.2182433!4d108.9641518!16zL20vMDVrNTFf!19sChIJ2Z1H3-c24BQRane6QKG7BEg?authuser=0&hl=ko&rclk=1,725,4.4
6,China,Xi'an,산시 역사박물관,,,"화석, 벽화, 토기, 금속품을 전시하는 대규모 역사박물관으로, 당나라 양식의 건물에 들어서 있습니다.",,,https://www.google.com/maps/place/%EC%82%B0%EC%8B%9C+%EC%97%AD%EC%82%AC%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x366370614f505a77:0xd1e6ac9c71d17f8!8m2!3d34.22352!4d108.955298!16zL20vMDJkcHdi!19sChIJd1pQT2FwYzYR-Bcdx8lqHg0?authuser=0&hl=ko&rclk=1,470,4.3
7,China,Xi'an,시안 셴양 국제공항,,,,,,https://www.google.com/maps/place/%EC%8B%9C%EC%95%88+%EC%85%B4%EC%96%91+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x36647f86fa101c45:0xe18dd0e1534f5a68!8m2!3d34.437111!4d108.7573294!16zL20vMGJqdG1j!19sChIJRRwQ-oZ_ZDYRaFpPU-HQjeE?authuser=0&hl=ko&rclk=1,408,4.0
8,China,Xi'an,화산,,,,,,https://www.google.com/maps/place/%ED%99%94%EC%82%B0/data=!4m7!3m6!1s0x367b6e83b35f95af:0xad3de29e144c21d6!8m2!3d34.477861!4d110.084789!16zL20vMDRkdjh5!19sChIJr5Vfs4NuezYR1iFMFJ7iPa0?authuser=0&hl=ko&rclk=1,393,4.6
9,China,Xi'an,Bell Tower of Xi'an,,,"1384년 명나라 때 세운 상징적인 종탑으로, 역사 전시와 탁 트인 도시 풍경을 볼 수 있습니다.",,,https://www.google.com/maps/place/Bell+Tower+of+Xi%27an/data=!4m7!3m6!1s0x36637a6108f00001:0x527adec5a3f239e1!8m2!3d34.2594667!4d108.9470197!16s%2Fm%2F04lgph6!19sChIJAQDwCGF6YzYR4Tnyo8XeelI?authuser=0&hl=ko&rclk=1,358,4.5
10,China,Xi'an,鼓楼博物馆,,,,,,https://www.google.com/maps/place/%E9%BC%93%E6%A5%BC%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x36637a66d0319d4f:0x11f618ab74f1265a!8m2!3d34.260175!4d108.943697!16s%2Fg%2F11cm1lc0b_!19sChIJT50x0GZ6YzYRWibxdKsY9hE?authuser=0&hl=ko&rclk=1,358,4.4
11,China,Xi'an,Huimin Street,,,,,,https://www.google.com/maps/place/Huimin+Street/data=!4m7!3m6!1s0x36637a613130367d:0xd8367ef361d2e616!8m2!3d34.259843!4d108.9449959!16s%2Fg%2F113dpmhnb!19sChIJfTYwMWF6YzYRFubSYfN-Ntg?authuser=0&hl=ko&rclk=1,294,4.1
12,China,Xi'an,Small Wild Goose Pagoda,,,꼭대기에서 아름다운 풍경을 볼 수 있는 8세기의 유명한 탑으로 공원과 인접해 있습니다.,,,https://www.google.com/maps/place/Small+Wild+Goose+Pagoda/data=!4m7!3m6!1s0x366370821f2548a7:0x3f45c1918951e5bc!8m2!3d34.239196!4d108.941998!16zL20vMDVrNTRn!19sChIJp0glH4JwYzYRvOVRiZHBRT8?authuser=0&hl=ko&rclk=1,286,4.5
13,China,Xi'an,The Westin Xian,,,,,,https://www.google.com/maps/place/The+Westin+Xian/data=!4m10!3m9!1s0x3663705da2ab91d5:0xf35eb51881121f92!5m2!4m1!1i2!8m2!3d34.216908!4d108.958405!16s%2Fg%2F11b73mcy1f!19sChIJ1ZGrol1wYzYRkh8SgRi1XvM?authuser=0&hl=ko&rclk=1,277,4.5
14,China,Xi'an,西安碑林,,,,,,https://www.google.com/maps/place/%E8%A5%BF%E5%AE%89%E7%A2%91%E6%9E%97/data=!4m7!3m6!1s0x36637a81a8d04887:0xb090d2b029649386!8m2!3d34.252459!4d108.952809!16zL20vMDJ6M3Jo!19sChIJh0jQqIF6YzYRhpNkKbDSkLA?authuser=0&hl=ko&rclk=1,259,4.4
15,China,Xi'an,Ancient City Wall,,,"풍경이 아름다운 오래되고 역사적인 도시 성벽으로, 산책과 자전거로 유명한 장소입니다.",,,https://www.google.com/maps/place/Ancient+City+Wall/data=!4m7!3m6!1s0x36637a88021eb291:0x40d4a68526f648d4!8m2!3d34.252061!4d108.950297!16s%2Fg%2F1tfhxt9v!19sChIJkbIeAoh6YzYR1Ej2JoWm1EA?authuser=0&hl=ko&rclk=1,250,4.6
16,China,Xi'an,Xi'an Wall Yongningmen （North Gate）,,,,,,https://www.google.com/maps/place/Xi%27an+Wall+Yongningmen+%EF%BC%88North+Gate%EF%BC%89/data=!4m7!3m6!1s0x36637a7cd47438dd:0x94ee01f2afb48f40!8m2!3d34.252013!4d108.946896!16s%2Fg%2F11cm1lydc_!19sChIJ3Th01Hx6YzYRQI-0r_IB7pQ?authuser=0&hl=ko&rclk=1,203,4.6
17,China,Xi'an,华清池,,,"평화로운 산 중턱 지역에 온천 단지, 정원, 유서 깊은 조각상이 있으며 아름다운 전망을 감상할 수 있습니다.",,,https://www.google.com/maps/place/%E5%8D%8E%E6%B8%85%E6%B1%A0/data=!4m7!3m6!1s0x36635f8c9d3af711:0x48a9608445c02490!8m2!3d34.361701!4d109.213075!16s%2Fm%2F0hhvtqm!19sChIJEfc6nYxfYzYRkCTARYRgqUg?authuser=0&hl=ko&rclk=1,196,4.2
18,China,Xi'an,Tang Paradise,,,"당나라 시대 모형 건축물, 문화 공연, 저녁 조명 쇼를 볼 수 있는 테마파크입니다.",,,https://www.google.com/maps/place/Tang+Paradise/data=!4m7!3m6!1s0x36637041399c821b:0x123c1bc0ad2fa8c4!8m2!3d34.2123098!4d108.9747383!16zL20vMGJ4c19y!19sChIJG4KcOUFwYzYRxKgvrcAbPBI?authuser=0&hl=ko&rclk=1,194,4.3
19,China,Xi'an,샹그릴라 호텔 시안,,,,,,https://www.google.com/maps/place/%EC%83%B9%EA%B7%B8%EB%A6%B4%EB%9D%BC+%ED%98%B8%ED%85%94+%EC%8B%9C%EC%95%88/data=!4m10!3m9!1s0x3663774f18ad1abb:0x1bede44a5c79cd2a!5m2!4m1!1i2!8m2!3d34.235367!4d108.89339!16s%2Fg%2F11f4wtt73x!19sChIJuxqtGE93YzYRKs15XErk7Rs?authuser=0&hl=ko&rclk=1,192,4.6
20,China,Xi'an,Shaanxi Xi'an Botanical Garden,,,,,,https://www.google.com/maps/place/Shaanxi+Xi%27an+Botanical+Garden/data=!4m7!3m6!1s0x36637050afdb3eb9:0x5bdd8bde567db269!8m2!3d34.207128!4d108.9568123!16s%2Fg%2F123dm2dhl!19sChIJuT7br1BwYzYRabJ9Vt6L3Vs?authuser=0&hl=ko&rclk=1,181,4.4
21,China,Xi'an,Mosque,,,,,,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x36637a670f6c7047:0xb2de51b057bbf617!8m2!3d34.261835!4d108.941799!16s%2Fg%2F1tgfblb4!19sChIJR3BsD2d6YzYRF_a7V7BR3rI?authuser=0&hl=ko&rclk=1,163,4.5
22,China,Xi'an,더 웨스틴 시안,,,,,,https://www.google.com/maps/place/%EB%8D%94+%EC%9B%A8%EC%8A%A4%ED%8B%B4+%EC%8B%9C%EC%95%88/data=!4m10!3m9!1s0x3663705da2ac81f9:0x6795e23eb8e09473!5m2!4m1!1i2!8m2!3d34.215159!4d108.963046!16s%2Fg%2F113h9k2gr!19sChIJ-YGsol1wYzYRc5TguD7ilWc?authuser=0&hl=ko&rclk=1,126,4.4
23,China,Xi'an,Datang Everbright City,,,,,,https://www.google.com/maps/place/Datang+Everbright+City/data=!4m7!3m6!1s0x36637042fb3021b9:0x304aba1e0b82c7a!8m2!3d34.2150944!4d108.9645654!16s%2Fg%2F11qyblspwh!19sChIJuSEw-0JwYzYReiy44KGrBAM?authuser=0&hl=ko&rclk=1,118,4.6
